[2017-03-13 14:19:45,432] [access] [INFO] [epi_1_nocli] sudo -s
[2017-03-13 14:19:45,432] [access] [INFO] [epi_1_nocli] [sudo] password for varmour_no_cli: 
[2017-03-13 14:19:45,464] [access] [INFO] [epi_1_nocli] 
[2017-03-13 14:19:45,464] [access] [INFO] [epi_1_nocli] root@vArmour:/usr-varmour/home/varmour_no_cli# 
[2017-03-13 14:19:45,714] [access] [INFO] [dir_2_nocli] 
[2017-03-13 14:19:45,715] [access] [INFO] [dir_2_nocli] Build: 3.1.0-2017-02-09-15-53-38-eng-ep-builtbot
[2017-03-13 14:19:45,715] [access] [INFO] [dir_2_nocli] 
[2017-03-13 14:19:45,715] [access] [INFO] [dir_2_nocli] Welcome to vArmour!
[2017-03-13 14:19:45,715] [access] [INFO] [dir_2_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:45,718] [access] [INFO] [dir_2_nocli] 
[2017-03-13 14:19:45,718] [access] [INFO] [dir_2_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:45,718] [feature] [INFO] cli initiated
[2017-03-13 14:19:45,722] [access] [INFO] [dir_2_nocli] 
[2017-03-13 14:19:45,722] [access] [INFO] [dir_2_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:45,728] [access] [INFO] [dir_2_nocli] sudo -s
[2017-03-13 14:19:45,729] [access] [INFO] [dir_2_nocli] [sudo] password for varmour_no_cli: 
[2017-03-13 14:19:45,815] [access] [INFO] [dir_2_nocli] 
[2017-03-13 14:19:45,815] [access] [INFO] [dir_2_nocli] root@vArmour:/usr-varmour/home/varmour_no_cli# 
[2017-03-13 14:19:46,145] [access] [INFO] [cp_1_nocli] 
[2017-03-13 14:19:46,146] [access] [INFO] [cp_1_nocli] Build: 3.1.0-2017-02-09-15-53-38-eng-ep-builtbot
[2017-03-13 14:19:46,146] [access] [INFO] [cp_1_nocli] 
[2017-03-13 14:19:46,146] [access] [INFO] [cp_1_nocli] Welcome to vArmour!
[2017-03-13 14:19:46,147] [access] [INFO] [cp_1_nocli] Last login: Sun Mar 12 22:55:30 2017 from 10.11.123.169
[2017-03-13 14:19:46,147] [access] [INFO] [cp_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:46,149] [access] [INFO] [cp_1_nocli] 
[2017-03-13 14:19:46,149] [access] [INFO] [cp_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:46,149] [feature] [INFO] cli initiated
[2017-03-13 14:19:46,151] [access] [INFO] [cp_1_nocli] 
[2017-03-13 14:19:46,151] [access] [INFO] [cp_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:46,156] [access] [INFO] [cp_1_nocli] sudo -s
[2017-03-13 14:19:46,157] [access] [INFO] [cp_1_nocli] [sudo] password for varmour_no_cli: 
[2017-03-13 14:19:46,238] [access] [INFO] [cp_1_nocli] 
[2017-03-13 14:19:46,239] [access] [INFO] [cp_1_nocli] root@vArmour:/usr-varmour/home/varmour_no_cli# 
[2017-03-13 14:19:46,569] [access] [INFO] [dir_1_nocli] 
[2017-03-13 14:19:46,570] [access] [INFO] [dir_1_nocli] Build: 3.1.0-2017-02-09-15-53-38-eng-ep-builtbot
[2017-03-13 14:19:46,570] [access] [INFO] [dir_1_nocli] 
[2017-03-13 14:19:46,570] [access] [INFO] [dir_1_nocli] Welcome to vArmour!
[2017-03-13 14:19:46,570] [access] [INFO] [dir_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:46,572] [access] [INFO] [dir_1_nocli] 
[2017-03-13 14:19:46,572] [access] [INFO] [dir_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:46,573] [feature] [INFO] cli initiated
[2017-03-13 14:19:46,574] [access] [INFO] [dir_1_nocli] 
[2017-03-13 14:19:46,574] [access] [INFO] [dir_1_nocli] varmour_no_cli@vArmour:/usr-varmour/home/varmour_no_cli$ 
[2017-03-13 14:19:46,582] [access] [INFO] [dir_1_nocli] sudo -s
[2017-03-13 14:19:46,583] [access] [INFO] [dir_1_nocli] [sudo] password for varmour_no_cli: 
[2017-03-13 14:19:46,672] [access] [INFO] [dir_1_nocli] 
[2017-03-13 14:19:46,672] [access] [INFO] [dir_1_nocli] root@vArmour:/usr-varmour/home/varmour_no_cli# 
[2017-03-13 14:19:46,724] [vautils] [DEBUG] ##############################################################
[2017-03-13 14:19:46,725] [vautils] [DEBUG] #                                                            #
[2017-03-13 14:19:46,725] [vautils] [DEBUG] # Setup module to setup topology and init test configuration #
[2017-03-13 14:19:46,725] [vautils] [DEBUG] #                                                            #
[2017-03-13 14:19:46,726] [vautils] [DEBUG] ##############################################################
[2017-03-13 14:19:46,726] [vautils] [DEBUG] #################################################
[2017-03-13 14:19:46,726] [vautils] [DEBUG] #                                               #
[2017-03-13 14:19:46,726] [vautils] [DEBUG] # Setup function to init before every test case #
[2017-03-13 14:19:46,727] [vautils] [DEBUG] #                                               #
[2017-03-13 14:19:46,727] [vautils] [DEBUG] #################################################
[2017-03-13 14:19:46,727] [access] [INFO] ==============Test Case config start==============
[2017-03-13 14:19:46,728] [vautils] [DEBUG] ########################################
[2017-03-13 14:19:46,728] [vautils] [DEBUG] #                                      #
[2017-03-13 14:19:46,728] [vautils] [DEBUG] # Setup topology and config ip address #
[2017-03-13 14:19:46,728] [vautils] [DEBUG] #                                      #
[2017-03-13 14:19:46,729] [vautils] [DEBUG] ########################################
[2017-03-13 14:19:46,729] [vautils] [INFO] *********************************
[2017-03-13 14:19:46,729] [vautils] [INFO] *                                
[2017-03-13 14:19:46,729] [vautils] [INFO] * Start to setup topology        
[2017-03-13 14:19:46,730] [vautils] [INFO] *                                
[2017-03-13 14:19:46,730] [vautils] [INFO] *********************************
[2017-03-13 14:19:46,730] [vautils] [DEBUG] Start to get reserved vlan
[2017-03-13 14:19:46,730] [vautils] [INFO] Start to config link
[2017-03-13 14:19:46,731] [vautils] [INFO] Connection:pc2_to_pc2 Access vlan (1002),pc2:eth1, switch : vSwitch2
[2017-03-13 14:19:48,146] [vautils] [DEBUG] [vSwitch2]: esxcfg-vswitch -p vlan-1002 -v 1002 vSwitch2
[2017-03-13 14:19:49,254] [vautils] [INFO] Succeed to get vlan. vlan id is 1002
[2017-03-13 14:19:49,254] [vautils] [INFO] Succeed to update portgroup vlan-1002 to vlan 1002
[2017-03-13 14:19:49,255] [vautils] [INFO] Connection:epi_link2 Access vlan (4095),epi_1:eth3, switch : vSwitch2
[2017-03-13 14:19:50,364] [vautils] [DEBUG] [vSwitch2]: esxcfg-vswitch -p Loc-4095 -v 4095 vSwitch2
[2017-03-13 14:19:51,467] [vautils] [INFO] Succeed to get vlan. vlan id is 4095
[2017-03-13 14:19:51,467] [vautils] [INFO] Succeed to update portgroup Loc-4095 to vlan 4095
[2017-03-13 14:19:51,468] [vautils] [INFO] Connection:epi_link1 Access vlan (4095),epi_1:eth2, switch : vSwitch1
[2017-03-13 14:19:52,579] [vautils] [DEBUG] [vSwitch1]: esxcfg-vswitch -p Pub-4095 -v 4095 vSwitch1
[2017-03-13 14:19:53,682] [vautils] [INFO] Succeed to get vlan. vlan id is 4095
[2017-03-13 14:19:53,682] [vautils] [INFO] Succeed to update portgroup Pub-4095 to vlan 4095
[2017-03-13 14:19:53,682] [vautils] [INFO] Connection:HA_FABRIC_DIR2 Access vlan (1000),dir_2:xe-1/0/0.1, switch : vSwitch1
[2017-03-13 14:19:54,797] [vautils] [DEBUG] [vSwitch1]: esxcfg-vswitch -p fabric-1000 -v 1000 vSwitch1
